,Identifier,Start date,End date,Number of deaths,Incident,State,Year
0,IBD031681,2025-04-18,2025-04-18,1,Food Poisoning,Imo,2025.0
1,IBD032064,2025-03-31,2025-03-31,1,Gunmen Kill Man,Benue,2025.0
2,IBD032058,2025-03-31,2025-03-31,1,Auto Crash,Lagos,2025.0
3,IBD032066,2025-03-31,2025-03-31,1,Stray Bullets,Sokoto,2025.0
4,IBD032062,2025-03-30,2025-03-30,1,Lightening Kills Herder,Kaduna,2025.0
5,IBD032049,2025-03-30,2025-03-30,9,Auto Crash,Katsina,2025.0
6,IBD032065,2025-03-30,2025-03-30,4,Sallah Day Celebration Clash,Plateau,2025.0
7,IBD032054,2025-03-30,2025-03-30,1,Auto Crash,Abia,2025.0
8,IBD032048,2025-03-30,2025-03-30,2,Gas Explosion,Delta,2025.0
9,IBD032061,2025-03-30,2025-03-30,1,Auto Crash,Ogun,2025.0
10,IBD032052,2025-03-30,2025-03-30,2,Stampede,Gombe,2025.0
11,IBD032063,2025-03-30,2025-03-30,2,Fishing Activities,Kogi,2025.0
12,IBD032057,2025-03-29,2025-03-29,1,Herdsmen Kill Graduate,(FCT) Abuja,2025.0
13,IBD032060,2025-03-29,2025-03-29,1,Labourer Kills Employer,Ondo,2025.0
14,IBD032050,2025-03-29,2025-03-29,1,Auto Crash,Lagos,2025.0
15,IBD032059,2025-03-29,2025-03-29,1,Extrajudicial Killing,Delta,2025.0
16,IBD032046,2025-03-28,2025-03-28,6,Security Forces vs Shiites Members,(FCT) Abuja,2025.0
17,IBD032056,2025-03-28,2025-03-28,1,Pirates vs Fashion Designer,Rivers,2025.0
18,IBD032042,2025-03-27,2025-03-27,2,Gas Explosion,Abia,2025.0
19,IBD032051,2025-03-27,2025-03-27,52,Gunmen Attack,Plateau,2025.0
20,IBD032028,2025-03-26,2025-03-26,2,Auto Crash,Kano,2025.0
21,IBD032027,2025-03-26,2025-03-26,2,Lakurawa vs Customs Officers,Kebbi,2025.0
22,IBD032045,2025-03-26,2025-03-26,1,Domestic Violence,Sokoto,2025.0
23,IBD032037,2025-03-26,2025-03-26,1,Domestic Violence,Edo,2025.0
24,IBD032033,2025-03-26,2025-03-26,2,Taskforce Raid,(FCT) Abuja,2025.0
25,IBD032032,2025-03-26,2025-03-26,1,Chieftaincy Tussle,Ondo,2025.0
26,IBD032039,2025-03-26,2025-03-26,1,Domestic Violence,Lagos,2025.0
27,IBD032044,2025-03-25,2025-03-25,2,Domestic Violence,Ekiti,2025.0
28,IBD032030,2025-03-25,2025-03-25,3,Rainstorm,Cross River,2025.0
29,IBD032025,2025-03-25,2025-03-25,2,Auto Crash,Abia,2025.0
30,IBD032034,2025-03-25,2025-03-25,1,Gunmen vs Land Agent,Delta,2025.0
31,IBD032041,2025-03-25,2025-03-25,1,Pipeline Vandal,Rivers,2025.0
32,IBD032020,2025-03-24,2025-03-24,1,Troops vs Armed Robber,Plateau,2025.0
33,IBD032019,2025-03-24,2025-03-24,1,Troops Kill Bandit,Plateau,2025.0
34,IBD032014,2025-03-24,2025-03-24,1,Kidnapper,Anambra,2025.0
35,IBD032026,2025-03-24,2025-03-24,2,Ritual Killing,Rivers,2025.0
36,IBD032017,2025-03-24,2025-03-24,8,Army vs Boko Haram,Borno,2025.0
37,IBD032009,2025-03-24,2025-03-24,1,Jailbreak,Kogi,2025.0
38,IBD032055,2025-03-24,2025-03-24,1,Auto Crash,Lagos,2025.0
39,IBD032012,2025-03-24,2025-03-24,1,Gunmen vs Police,Enugu,2025.0
40,IBD032016,2025-03-24,2025-03-24,3,Army vs Boko Haram,Borno,2025.0
41,IBD031984,2025-03-23,2025-03-23,2,Extrajudicial Killing,Cross River,2025.0
42,IBD032006,2025-03-23,2025-03-23,1,Assailants vs Motorcycle Rider,Bauchi,2025.0
43,IBD032018,2025-03-23,2025-03-23,1,Hunter Killed,Ogun,2025.0
44,IBD032007,2025-03-23,2025-03-23,3,Gunmen Attack,Plateau,2025.0
45,IBD032008,2025-03-23,2025-03-23,8,Auto Crash,Osun,2025.0
46,IBD032010,2025-03-23,2025-03-23,2,Bandits Kill 2,Kogi,2025.0
47,IBD031983,2025-03-22,2025-03-22,1,Bandits Attack,Sokoto,2025.0
48,IBD031989,2025-03-22,2025-03-22,10,Bandits vs Security Operatives,Zamfara,2025.0
49,IBD031985,2025-03-22,2025-03-22,1,Kidnappers Kill 1,Benue,2025.0
50,IBD032035,2025-03-22,2025-03-22,3,Kidnap Victims,Kaduna,2025.0
51,IBD031987,2025-03-22,2025-03-22,1,Herdsmen Attack,Edo,2025.0
52,IBD031995,2025-03-22,2025-03-22,1,Herders Kill Farmer,(FCT) Abuja,2025.0
53,IBD031990,2025-03-22,2025-03-22,1,Assailants vs Security Man,Bauchi,2025.0
54,IBD032011,2025-03-22,2025-03-22,1,POS Operator,Adamawa,2025.0
55,IBD032021,2025-03-22,2025-03-22,2,Generator Fume Kill 2,Rivers,2025.0
56,IBD031992,2025-03-21,2025-03-21,2,Communal Clash,Osun,2025.0
57,IBD031996,2025-03-21,2025-03-21,1,Hoodlums vs Worshippers,Kaduna,2025.0
58,IBD032040,2025-03-21,2025-03-21,1,Man Dies in Hotel,Delta,2025.0
59,IBD032038,2025-03-21,2025-03-21,1,Domestic Violence,Edo,2025.0
60,IBD032031,2025-03-21,2025-03-21,5,Police vs Kidnappers,Delta,2025.0
61,IBD031986,2025-03-20,2025-03-20,3,Gunmen Attack,Anambra,2025.0
62,IBD032004,2025-03-20,2025-03-20,2,Security Force vs Lakurawa,Kebbi,2025.0
63,IBD032047,2025-03-20,2025-03-20,16,Northern Hunters,Edo,2025.0
64,IBD031981,2025-03-20,2025-03-20,1,Miyetti Allah Chairman,Plateau,2025.0
65,IBD032013,2025-03-20,2025-03-20,1,Kidnap Victim,Bauchi,2025.0
66,IBD031980,2025-03-19,2025-03-19,5,Herdsmen Attack,Benue,2025.0
67,IBD031982,2025-03-19,2025-03-19,1,Rape Victim,Delta,2025.0
68,IBD032002,2025-03-19,2025-03-19,1,Inferno,Yobe,2025.0
69,IBD031994,2025-03-19,2025-03-19,10,Banditary,Katsina,2025.0
70,IBD031971,2025-03-19,2025-03-19,1,Domestic Violence,Lagos,2025.0
71,IBD031979,2025-03-19,2025-03-19,1,Assailants vs Security Guard,Ebonyi,2025.0
72,IBD031972,2025-03-19,2025-03-19,10,Explosion/Auto Crash,(FCT) Abuja,2025.0
73,IBD031975,2025-03-19,2025-03-19,10,Herders vs Farmers,Ondo,2025.0
74,IBD031970,2025-03-18,2025-03-18,1,Auto Crash,Rivers,2025.0
75,IBD031993,2025-03-18,2025-03-18,25,NAF vs Boko Haram,Borno,2025.0
76,IBD031978,2025-03-18,2025-03-18,1,Rainstorm Kill 1,Ogun,2025.0
